t,producer_price_index_MoM_change
1999-09-01,0.0014705882352941124
1999-10-01,0.002936857562408246
1999-11-01,0.0014641288433383526
1999-12-01,0.0
2000-01-01,0.005847953216374213
2000-02-01,-0.0029069767441860517
2000-03-01,0.001457725947521915
2000-04-01,0.0029112081513829047
2000-05-01,0.002902757619738683
2000-06-01,0.004341534008683201
2000-07-01,0.007204610951008661
2000-08-01,0.0042918454935620964
2000-09-01,0.008547008547008517
2000-10-01,0.004237288135593209
2000-11-01,0.005625879043600568
2000-12-01,0.0
2001-01-01,0.002797202797202747
2001-02-01,0.0
2001-03-01,0.002789400278940146
2001-04-01,0.004172461752433909
2001-05-01,0.0027700831024930483
2001-06-01,0.0
2001-07-01,-0.005524861878453136
2001-08-01,0.001388888888888884
2001-09-01,0.0013869625520113171
2001-10-01,-0.00969529085872578
2001-11-01,0.0
2001-12-01,0.0013986013986013734
2002-01-01,-0.0013966480446926388
2002-02-01,-0.0013986013986013734
2002-03-01,0.004201680672268893
2002-04-01,-0.004184100418409997
2002-05-01,0.0
2002-06-01,0.0
2002-07-01,-0.001400560224089742
2002-08-01,0.0
2002-09-01,0.0014025245441795509
2002-10-01,0.0028011204481790397
2002-11-01,0.0
2002-12-01,0.0041899441340784715
2003-01-01,0.011126564673157091
2003-02-01,0.0013755158184318717
2003-03-01,0.0013736263736265908
2003-04-01,-0.005486968449931462
2003-05-01,0.0
2003-06-01,-0.0013793103448275223
2003-07-01,0.0013812154696131174
2003-08-01,0.0027586206896552667
2003-09-01,0.0013755158184318717
2003-10-01,0.0
2003-11-01,0.004120879120879106
2003-12-01,0.001367989056087593
2004-01-01,-0.006830601092896127
2004-02-01,0.0
2004-03-01,0.004126547455295615
2004-04-01,0.00273972602739736
2004-05-01,0.005464480874316724
2004-06-01,-0.0013586956521738358
2004-07-01,0.005442176870748439
2004-08-01,0.005412719891745521
2004-09-01,0.0013458950201885589
2004-10-01,0.010752688172043001
2004-11-01,0.0
2004-12-01,0.0013297872340425343
2005-01-01,0.006640106241699861
2005-02-01,0.0013192612137205018
2005-03-01,0.0039525691699604515
2005-04-01,0.003937007874015741
2005-05-01,-0.0013071895424835445
2005-06-01,0.005235602094240788
2005-07-01,0.005208333333333481
2005-08-01,0.005181347150258864
2005-09-01,0.002577319587628857
2005-10-01,0.006426735218509005
2005-11-01,0.0025542784163474774
2005-12-01,0.005095541401273884
2006-01-01,0.0139416983523446
2006-02-01,0.0050000000000001155
2006-03-01,0.0024875621890545485
2006-04-01,0.007444168734491496
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.006157635467980205
2006-08-01,0.00489596083231314
2006-09-01,-0.0036540803897685548
2006-10-01,0.0
2006-11-01,0.0024449877750611915
2006-12-01,0.003658536585365857
2007-01-01,-0.00243013365735123
2007-02-01,0.0
2007-03-01,-0.0024360535931788885
2007-04-01,-0.0012210012210013277
2007-05-01,0.004889975550122383
2007-06-01,0.0
2007-07-01,-0.0012165450121655041
2007-08-01,0.0012180267965895553
2007-09-01,0.001216545012165282
2007-10-01,0.00486026731470246
2007-11-01,0.013301088270858408
2007-12-01,0.0
2008-01-01,0.005966587112171906
2008-02-01,0.004744958481613271
2008-03-01,0.0035419126328217754
2008-04-01,0.007058823529411784
2008-05-01,0.010514018691588856
2008-06-01,0.009248554913294793
2008-07-01,0.01718213058419238
2008-08-01,-0.0033783783783783994
2008-09-01,0.003389830508474523
2008-10-01,0.0
2008-11-01,-0.013513513513513598
2008-12-01,-0.004566210045662045
2009-01-01,-0.016055045871559703
2009-02-01,-0.005827505827505797
2009-03-01,-0.007033997655334079
2009-04-01,-0.016528925619834767
2009-05-01,0.0012004801920768582
2009-06-01,-0.0023980815347721673
2009-07-01,-0.014423076923076983
2009-08-01,0.004878048780487809
2009-09-01,-0.003640776699029291
2009-10-01,0.0
2009-11-01,0.004872107186358221
2009-12-01,0.00121212121212122
2010-01-01,0.003631961259080052
2010-02-01,-0.0012062726176116367
2010-03-01,0.0036231884057971175
2010-04-01,0.008423586040914532
2010-05-01,0.004773269689737569
2010-06-01,0.005938242280284944
2010-07-01,0.0035419126328217754
2010-08-01,-0.0011764705882352233
2010-09-01,0.0035335689045936647
2010-10-01,0.0035211267605632646
2010-11-01,0.0035087719298245723
2010-12-01,0.006993006993007089
2011-01-01,0.010416666666666519
2011-02-01,0.00572737686139746
2011-03-01,0.005694760820045497
2011-04-01,0.007927519818799578
2011-05-01,0.0
2011-06-01,0.0011235955056179137
2011-07-01,0.004489337822671136
2011-08-01,-0.0011173184357541333
2011-09-01,0.0022371364653241965
2011-10-01,0.0022321428571427937
2011-11-01,0.0
2011-12-01,-0.00445434298440972
2012-01-01,0.004474272930648615
2012-02-01,0.0033407572383072903
2012-03-01,0.005549389567147678
2012-04-01,0.0011037527593820151
2012-05-01,-0.003307607497243681
2012-06-01,-0.0033185840707965486
2012-07-01,-0.0011098779134294245
2012-08-01,0.004444444444444473
2012-09-01,0.004424778761061843
2012-10-01,0.0
2012-11-01,0.0011013215859032588
2012-12-01,-0.002200220022002264
2013-01-01,0.005512679162072764
2013-02-01,-0.003289473684210509
2013-03-01,-0.002200220022002264
2013-04-01,-0.0022050716648290836
2013-05-01,-0.0022099447513812542
2013-06-01,-0.0022148394241418012
2013-07-01,-0.0011098779134294245
2013-08-01,0.0
2013-09-01,0.0033333333333334103
2013-10-01,-0.0022148394241418012
2013-11-01,0.0
2013-12-01,0.002219755826859071
2014-01-01,-0.0022148394241418012
2014-02-01,0.0
2014-03-01,-0.0033296337402884957
2014-04-01,-0.0022271714922049712
2014-05-01,-0.0022321428571426827
2014-06-01,0.0
2014-07-01,-0.0011185682326623203
2014-08-01,-0.0011198208286673506
2014-09-01,0.0011210762331836932
2014-10-01,0.0
2014-11-01,0.0011198208286675726
2014-12-01,-0.006711409395973256
2015-01-01,-0.006756756756756688
2015-02-01,0.0011337868480725266
2015-03-01,0.0
2015-04-01,0.0
2015-05-01,0.0
2015-06-01,-0.0011325028312569874
2015-07-01,0.0
2015-08-01,-0.0045351473922903285
