t,GDP_QoQ_change,construction_level_change_thousands_m1,construction_level_change_thousands_m2,construction_level_change_thousands_m3,construction_value_added_QoQ_change_annual,disposable_personal_QoQ_change_annual,employees_level_change_thousands,export_price_index_MoM_change_m1,export_price_index_MoM_change_m2,export_price_index_MoM_change_m3,exports_MoM_change_m1,exports_MoM_change_m2,exports_MoM_change_m3,GDI_QoQ_change_annual,HVPI_MoM_change_m1,HVPI_MoM_change_m2,HVPI_MoM_change_m3,HVPI_wo_food_energy_MoM_change_m1,HVPI_wo_food_energy_MoM_change_m2,HVPI_wo_food_energy_MoM_change_m3,ifo_bci_manufacturing_m1,ifo_bci_manufacturing_m2,ifo_bci_manufacturing_m3,ifo_bci_services_m1,ifo_bci_services_m2,ifo_bci_services_m3,ifo_bci_m1,ifo_bci_m2,ifo_bci_m3,ifo_employment_index_m1,ifo_employment_index_m2,ifo_employment_index_m3,import_price_index_MoM_change_m1,import_price_index_MoM_change_m2,import_price_index_MoM_change_m3,imports_MoM_change_m1,imports_MoM_change_m2,imports_MoM_change_m3,industry_orders_MoM_change_m1,industry_orders_MoM_change_m2,industry_orders_MoM_change_m3,inventories_level_change_thousands,job_vacancies_level_change_thousands,manufacturing_production_MoM_change_m1,manufacturing_production_MoM_change_m2,manufacturing_production_MoM_change_m3,personal_consumption_QoQ_change_annual,producer_price_index_MoM_change_m1,producer_price_index_MoM_change_m2,producer_price_index_MoM_change_m3,retail_sales_MoM_change_m1,retail_sales_MoM_change_m2,retail_sales_MoM_change_m3,unemployment_rate_ppt_change,unit_labor_costs_QoQ_change_annual
1965-10-01,0.598451791,,,,,,,,,,0.0406779661016947,0.001628664495114,0.0065040650406504,,,,,,,,,,,,,,,,,,,,,,,0.0406779661016947,0.001628664495114,0.0065040650406504,-0.0193798449612403,-0.0197628458498023,0.0241935483870967,,,,,,,,,,0.00383877159309,-0.0038240917782026,-0.0230326295585413,,
1966-01-01,1.81592055,,,,,,,,,,0.0500807754442649,-0.0123076923076923,-0.042056074766355,,,,,,,,,,,,,,,,,,,,,,,0.0500807754442649,-0.0123076923076923,-0.042056074766355,-0.0157480314960629,0.004,0.0278884462151394,,,,,,,,,,0.037328094302554,0.009469696969697,0.0037523452157599,,
1966-04-01,0.307484942,,,,,,,,,,0.0536585365853659,0.0138888888888888,0.0106544901065448,,,,,,,,,,,,,,,,,,,,,,,0.0536585365853659,0.0138888888888888,0.0106544901065448,-0.003875968992248,-0.0272373540856031,0.004,,,,,,,,,,-0.0149532710280373,0.0303605313092978,-0.0331491712707181,,
1966-07-01,0.122676937,,,,,,,,,,0.0587349397590362,-0.0568990042674253,0.0392156862745096,,,,,,,,,,,,,,,,,,,,,,,0.0587349397590362,-0.0568990042674253,0.0392156862745096,-0.0278884462151395,-0.0245901639344261,0.0168067226890755,,,,,,,,,,0.0342857142857142,-0.01841620626151,0.0,,
1966-10-01,-1.56154042,,,,,,,,,,0.0130624092888245,-0.0229226361031519,0.0307917888563049,,,,,,,,,,,,,,,,,,,,,,,0.0130624092888245,-0.0229226361031519,0.0307917888563049,-0.0041322314049585,-0.0414937759336099,-0.0432900432900432,,,,,,,,,,-0.0018761726078798,-0.0169172932330827,-0.0191204588910134,,
1967-01-01,-0.49772895,,,,,,,,,,0.0483641536273113,-0.0502035278154681,-0.0214285714285714,,,,,,,,,,,,,,,,,,,,,,,0.0483641536273113,-0.0502035278154681,-0.0214285714285714,0.0135746606334841,0.0312500000000002,0.0216450216450216,,,,,,,,,,0.0779727095516569,-0.0343580470162748,-0.0168539325842695,,
1967-04-01,-0.31257933,,,,,,,,,,0.0934306569343066,-0.0854472630173565,0.0423357664233576,,,,,,,,,,,,,,,,,,,,,,,0.0934306569343066,-0.0854472630173565,0.0423357664233576,-0.0254237288135593,0.0347826086956521,0.0210084033613444,,,,,,,,,,-0.0038095238095238,-0.0038240917782026,0.0307101727447216,,
1967-07-01,2.414591866,,,,,,,,,,-0.0056022408963585,0.0084507042253521,0.0349162011173185,,,,,,,,,,,,,,,,,,,,,,,-0.0056022408963585,0.0084507042253521,0.0349162011173185,0.0041152263374484,0.0327868852459016,0.0238095238095239,,,,,,,,,,-0.0074487895716947,-0.0056285178236397,0.0207547169811321,,
1967-10-01,1.285930408,,,,,,,,,,-0.0026990553306343,0.0257104194857915,0.0,,,,,,,,,,,,,,,,,,,,,,,-0.0026990553306343,0.0257104194857915,0.0,0.0465116279069766,0.0037037037037037,0.0184501845018449,,,,,,,,,,-0.0240295748613679,-0.0208333333333332,0.0986460348162474,,
1968-01-01,1.170303986,,,,,,,,,,0.0303430079155673,-0.0192061459667093,0.0404699738903393,,,,,,,,,,,,,,,,,,,,,,,0.0303430079155673,-0.0192061459667093,0.0404699738903393,-0.0289855072463768,0.0261194029850746,-0.0181818181818181,,,,,,,,,,-0.0686619718309858,-0.0018903591682419,0.0340909090909091,,
1968-04-01,0.777279522,,,,,,,,,,-0.0338770388958594,-0.0233766233766234,0.0598404255319149,,,,,,,,,,,,,,,,,,,,,,,-0.0338770388958594,-0.0233766233766234,0.0598404255319149,0.0740740740740741,0.0275862068965517,-0.0067114093959731,,,,,,,,,,0.0238095238095237,-0.0214669051878353,0.0073126142595978,,
1968-07-01,2.195194304,,,,,,,,,,0.0451693851944794,0.0372148859543817,-0.0150462962962963,,,,,,,,,,,,,,,,,,,,,,,0.0451693851944794,0.0372148859543817,-0.0150462962962963,0.0270270270270269,0.0361842105263159,0.0031746031746031,,,,,,,,,,-0.0036297640653357,0.0309653916211294,0.0017667844522968,,
1968-10-01,1.509433962,,,,,,,,,,0.0070505287896593,0.1143523920653442,0.0125654450261778,,,,,,,,,,,,,,,,,,,,,,,0.0070505287896593,0.1143523920653442,0.0125654450261778,0.018987341772152,0.0310559006211179,0.0361445783132527,,,,,,,,,,-0.0088183421516755,0.0249110320284697,-0.0017361111111111,,
1969-01-01,2.516442665,,,,,,,,,,-0.139607032057911,0.0060096153846151,0.1099163679808841,,,,,,,,,,,,,,,,,,,,,,,-0.139607032057911,0.0060096153846151,0.1099163679808841,0.0087209302325581,-0.0028818443804035,0.0115606936416183,,,,,,,,,,0.0121739130434783,-0.006872852233677,0.0242214532871973,,
1969-04-01,1.283087905,,,,,,,,,,0.0344456404736275,-0.0062434963579602,0.0230366492146596,,,,,,,,,,,,,,,,,,,,,,,0.0344456404736275,-0.0062434963579602,0.0230366492146596,0.0228571428571426,0.0055865921787709,0.0,,,,,,,,,,-0.0152027027027028,0.0343053173241851,-0.0082918739635157,,
1969-07-01,2.148261051,,,,,,,,,,0.0020470829068577,0.0081716036772216,-0.0070921985815601,,,,,,,,,,,,,,,,,,,,,,,0.0020470829068577,0.0081716036772216,-0.0070921985815601,0.0361111111111109,0.0294906166219839,-0.0338541666666666,,,,,,,,,,0.008361204013378,0.0281923714759535,-0.0064516129032258,,
1969-10-01,1.536742829,,,,,,,,,,0.0010204081632652,0.0234454638124361,-0.0288844621513942,,,,,,,,,,,,,,,,,,,,,,,0.0010204081632652,0.0234454638124361,-0.0288844621513942,-0.013477088948787,0.0081967213114753,-0.0162601626016261,,,,,,,,,,0.0081168831168831,0.0080515297906602,-0.0015974440894569,,
1970-01-01,-1.595662151,,,,,,,,0.0026385224274407,0.0,-0.0184615384615384,0.0376175548589341,0.0463242698892245,,,,,,,,,,,,,,,,,,,,,0.0025125628140703,0.0050125313283209,-0.0184615384615384,0.0376175548589341,0.0463242698892245,-0.0192837465564736,0.0337078651685391,-0.0163043478260868,,,,,,,,,,-0.0063999999999999,0.0080515297906602,0.0063897763578275,,
1970-04-01,3.975817699,,,,,,,0.0,0.0026315789473685,0.0026246719160105,-0.0356111645813282,0.0419161676646706,0.0057471264367816,,,,,,,,,,,,,,,,,,,,0.0,0.0049875311720697,0.0,-0.0356111645813282,0.0419161676646706,0.0057471264367816,-0.0469613259668508,0.0260869565217389,-0.0169491525423729,,,,,,0.1022932989399441,,,,0.0142857142857142,0.0078247261345854,0.0232919254658385,,
1970-07-01,1.867836292,,,,,,,0.0052356020942407,0.0026041666666667,0.0025974025974027,0.0247619047619047,-0.0306691449814126,0.0067114093959732,,,,,,,,,,,,,,,,,,,,0.0074441687344914,-0.0024630541871921,0.0049382716049384,0.0247619047619047,-0.0306691449814126,0.0067114093959732,0.0172413793103449,0.0112994350282484,-0.0083798882681563,,,,,,0.089746737764135,,,,0.007587253414264,-0.0271084337349398,0.0247678018575852,,
1970-10-01,0.847606644,,,,,,,0.0129533678756477,0.0051150895140663,0.0,0.020952380952381,-0.021455223880597,0.0953288846520494,,,,,,,,,,,,,,,,,,,,0.0,-0.0049140049140049,-0.0049382716049383,0.020952380952381,-0.021455223880597,0.0953288846520494,-0.0309859154929578,0.0203488372093023,0.0227920227920226,,,,,,0.0502930500611664,,,,0.012084592145015,0.0119402985074625,-0.0058997050147491,,
1971-01-01,-1.921102523,,,,,,,0.0,0.0025445292620864,0.0,-0.0548302872062663,0.0395948434622468,0.0106288751107175,,,,,,,,,,,,,,,,,,,,0.0024813895781639,0.0,0.0074257425742574,-0.0548302872062663,0.0395948434622468,0.0106288751107175,-0.0278551532033426,-0.0343839541547277,0.0207715133531156,,,,,,0.0081530548759751,,,,0.0103857566765577,-0.0058737151248162,0.0059084194977843,,
1971-04-01,2.098640828,,,,,,,0.0025380710659899,0.0,0.0025316455696202,-0.0148992112182295,-0.0222419928825622,0.0536851683348498,,,,,,,,,,,,,,,,,,,,0.0049140049140048,0.0,0.0024449877750611,-0.0148992112182295,-0.0222419928825622,0.0536851683348498,0.0174418604651163,-0.0171428571428572,0.0174418604651163,,,,,,0.0874527933464048,,,,0.0102790014684288,0.007267441860465,-0.0028860028860029,,
