t,export_price_index_MoM_change
1978-12-01,0.0035149384885764245
1979-01-01,-0.0017513134851138146
1979-02-01,0.00877192982456143
1979-03-01,0.003478260869565375
1979-04-01,0.006932409012131657
1979-05-01,0.0068846815834766595
1979-06-01,0.006837606837606813
1979-07-01,0.008488964346349714
1979-08-01,0.0016835016835017313
1979-09-01,0.005042016806722671
1979-10-01,0.006688963210702337
1979-11-01,0.0033222591362125353
1979-12-01,0.0033112582781458233
1980-01-01,0.013201320132013139
1980-02-01,0.006514657980456029
1980-03-01,0.004854368932038833
1980-04-01,0.0
1980-05-01,0.0
1980-06-01,0.004830917874396157
1980-07-01,0.0016025641025640969
1980-08-01,0.0016000000000000458
1980-09-01,0.0031948881789136685
1980-10-01,0.01273885350318471
1980-11-01,0.004716981132075526
1980-12-01,0.003129890453833939
1981-01-01,0.0
1981-02-01,0.009360374414976835
1981-03-01,0.0061823802163831765
1981-04-01,0.003072196620583778
1981-05-01,0.004594180704440953
1981-06-01,0.009146341463414753
1981-07-01,0.007552870090634434
1981-08-01,0.010494752623688264
1981-09-01,0.0
1981-10-01,0.0029673590504448732
1981-11-01,0.0
1981-12-01,0.004437869822485396
1982-01-01,0.00589101620029453
1982-02-01,0.002928257686676483
1982-03-01,0.004379562043795637
1982-04-01,0.0029069767441860517
1982-05-01,-0.0014492753623187582
1982-06-01,0.002902757619738683
1982-07-01,0.0028943560057888007
1982-08-01,0.0014430014430015792
1982-09-01,0.0028818443804032867
1982-10-01,0.001436781609195581
1982-11-01,0.0
1982-12-01,0.0014347202295552641
1983-01-01,-0.002865329512893977
1983-02-01,0.0
1983-03-01,-0.002873563218390607
1983-04-01,0.0028818443804032867
1983-05-01,0.004310344827586299
1983-06-01,0.0028612303290413976
1983-07-01,0.0028530670470756636
1983-08-01,0.005689900426742556
1983-09-01,0.0028288543140029265
1983-10-01,0.0028208744710858102
1983-11-01,0.002812939521800395
1983-12-01,0.005610098176718203
1984-01-01,0.001394700139469851
1984-02-01,0.001392757660167332
1984-03-01,0.0027816411682890507
1984-04-01,0.0013869625520113171
1984-05-01,0.0041551246537396835
1984-06-01,0.0013793103448274113
1984-07-01,0.0013774104683197397
1984-08-01,0.004126547455295615
1984-09-01,0.00273972602739736
1984-10-01,0.008196721311475308
1984-11-01,0.0013550135501356753
1984-12-01,0.0027063599458725385
1985-01-01,0.0013495276653172628
1985-02-01,0.006738544474393482
1985-03-01,0.0026773761713521083
1985-04-01,0.0
1985-05-01,0.0026702269692922
1985-06-01,0.0
1985-07-01,-0.0013315579227695107
1985-08-01,-0.0013333333333332975
1985-09-01,-0.001335113484646322
1985-10-01,-0.002673796791443861
1985-11-01,-0.0013404825737264314
1985-12-01,0.0
1986-01-01,-0.00402684563758382
1986-02-01,-0.0026954177897574594
1986-03-01,-0.002702702702702786
1986-04-01,-0.0013550135501354532
1986-05-01,-0.0027137042062415073
1986-06-01,0.0
1986-07-01,-0.0054421768707483276
1986-08-01,0.0
1986-09-01,-0.001367989056087482
1986-10-01,-0.001369863013698569
1986-11-01,0.0
1986-12-01,0.0
1987-01-01,-0.005486968449931462
1987-02-01,-0.0013793103448275223
1987-03-01,-0.0013812154696133394
1987-04-01,0.0
1987-05-01,0.0013831258644538824
1987-06-01,0.0013812154696131174
1987-07-01,0.004137931034482678
1987-08-01,0.0013736263736265908
1987-09-01,-0.001371742112482921
1987-10-01,0.005494505494505475
1987-11-01,-0.001366120218579403
1987-12-01,0.002735978112175186
1988-01-01,-0.0013642564802182067
1988-02-01,-0.001366120218579403
1988-03-01,0.002735978112175186
1988-04-01,0.0027285129604366354
1988-05-01,0.0027210884353741083
1988-06-01,0.00407055630936215
1988-07-01,0.006756756756756799
1988-08-01,0.0026845637583892135
1988-09-01,0.0026773761713521083
1988-10-01,0.004005340453938633
1988-11-01,0.0013297872340425343
1988-12-01,0.005312084993359889
1989-01-01,0.0013210039630118242
1989-02-01,0.0026385224274407815
1989-03-01,0.003947368421052699
1989-04-01,0.0
1989-05-01,0.002621231979030192
1989-06-01,0.0
1989-07-01,0.0
1989-08-01,0.0
1989-09-01,0.0013071895424836555
1989-10-01,0.0
1989-11-01,-0.0013054830287205776
1989-12-01,-0.0039215686274509665
1990-01-01,-0.001312335958005395
1990-02-01,0.0
1990-03-01,0.0013140604467807293
1990-04-01,0.001312335958005173
1990-05-01,-0.001310615989514985
1990-06-01,0.0
1990-07-01,0.002624671916010568
1990-08-01,0.0
1990-09-01,0.003926701570680535
1990-10-01,0.0013037809647977738
1990-11-01,0.0
1990-12-01,0.0
1991-01-01,0.0013020833333334814
1991-02-01,-0.0013003901170351995
1991-03-01,0.0
1991-04-01,0.005208333333333481
1991-05-01,-0.0012953367875648825
1991-06-01,0.0012970168612194133
1991-07-01,0.002590673575129543
1991-08-01,-0.0012919896640828377
1991-09-01,0.0
1991-10-01,0.0
1991-11-01,0.0
1991-12-01,-0.001293661060801976
1992-01-01,0.002590673575129543
1992-02-01,0.0025839793281652312
1992-03-01,0.0
1992-04-01,0.0038659793814435073
1992-05-01,0.0
1992-06-01,0.0
1992-07-01,-0.0012836970474968679
1992-08-01,-0.0012853470437017567
1992-09-01,-0.0012870012870014325
1992-10-01,-0.0012886597938143174
1992-11-01,0.001290322580645098
1992-12-01,0.0
1993-01-01,0.0
1993-02-01,0.0
1993-03-01,0.0
1993-04-01,0.0
1993-05-01,0.0
1993-06-01,0.0012886597938146505
1993-07-01,0.002574002574002643
1993-08-01,-0.0012836970474968679
1993-09-01,-0.0025706940874036244
1993-10-01,0.0012886597938146505
1993-11-01,0.0012870012870012104
1993-12-01,0.00385604113110527
1994-01-01,0.001280409731114096
1994-02-01,0.0
1994-03-01,0.0
1994-04-01,-0.0012787723785167016
1994-05-01,0.0
1994-06-01,0.0
1994-07-01,0.001280409731114096
1994-08-01,0.0
1994-09-01,0.002557544757033181
1994-10-01,0.003826530612244916
1994-11-01,0.003811944091486552
1994-12-01,0.0025316455696202667
1995-01-01,0.0037878787878786735
1995-02-01,0.0
1995-03-01,-0.002515723270440251
1995-04-01,-0.0012610340479192184
1995-05-01,0.0012626262626262985
1995-06-01,0.0012610340479193294
1995-07-01,0.0012594458438286438
1995-08-01,0.002515723270440251
1995-09-01,0.0012547051442910462
1995-10-01,-0.0025062656641604564
1995-11-01,0.0
1995-12-01,0.0
1996-01-01,0.0
1996-02-01,0.0
1996-03-01,0.0
1996-04-01,0.0
1996-05-01,0.0
1996-06-01,-0.0012562814070351536
1996-07-01,-0.002515723270440251
1996-08-01,-0.0025220680958386588
1996-09-01,0.0025284450063212116
1996-10-01,0.003783102143757766
1996-11-01,-0.0012562814070351536
1996-12-01,0.002515723270440251
1997-01-01,0.0025094102885823144
1997-02-01,0.0012515644555692873
1997-03-01,0.0024999999999999467
1997-04-01,0.0012468827930174342
1997-05-01,0.00249066002490661
1997-06-01,0.001242236024844745
1997-07-01,0.002481389578163906
1997-08-01,0.0024752475247524774
1997-09-01,0.0
1997-10-01,0.0012345679012344402
1997-11-01,0.0012330456226881115
1997-12-01,0.0
1998-01-01,-0.0012315270935961964
1998-02-01,-0.0012330456226880004
1998-03-01,0.0
1998-04-01,-0.0012345679012345512
1998-05-01,-0.0012360939431398377
1998-06-01,-0.0012376237623761277
1998-07-01,-0.0012391573729865213
1998-08-01,-0.001240694789081842
1998-09-01,-0.001242236024844634
1998-10-01,-0.003731343283582267
1998-11-01,0.0
1998-12-01,-0.0012484394506865337
1999-01-01,-0.00374999999999992
1999-02-01,-0.0012547051442911572
1999-03-01,0.0012562814070353756
1999-04-01,0.0
1999-05-01,0.0012547051442910462
1999-06-01,0.0012531328320803947
1999-07-01,0.0025031289111387967
1999-08-01,0.0012484394506866447
1999-09-01,0.0037406483790523026
1999-10-01,0.003726708074534235
1999-11-01,0.0012376237623763497
