STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,FREQ,,MEASURE,,ACTIVITY,,UNIT_MEASURE,,PRICE_BASE,,TRANSFORMATION,,ADJUSTMENT,,CONVERSION_TYPE,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MULT,,BASE_PER,,DECIMALS,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,DEU,,Q,,ULCE,,_T,,IX,,V,,_Z,,N,,NC,,2012-Q1,,87.81985,,A,,0,,2015,,0,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,DEU,,Q,,ULCE,,_T,,IX,,V,,_Z,,N,,NC,,2012-Q2,,93.50988,,A,,0,,2015,,0,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,DEU,,Q,,ULCE,,_T,,IX,,V,,_Z,,N,,NC,,2012-Q3,,92.67874,,A,,0,,2015,,0,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,DEU,,Q,,ULCE,,_T,,IX,,V,,_Z,,N,,NC,,2012-Q4,,102.2837,,A,,0,,2015,,0,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,DEU,,Q,,ULCE,,_T,,IX,,V,,_Z,,N,,NC,,2013-Q1,,91.94529,,A,,0,,2015,,0,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,DEU,,Q,,ULCE,,_T,,IX,,V,,_Z,,N,,NC,,2013-Q2,,95.09527,,A,,0,,2015,,0,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,DEU,,Q,,ULCE,,_T,,IX,,V,,_Z,,N,,NC,,2013-Q3,,94.1295,,A,,0,,2015,,0,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,DEU,,Q,,ULCE,,_T,,IX,,V,,_Z,,N,,NC,,2013-Q4,,104.1044,,A,,0,,2015,,0,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,DEU,,Q,,ULCE,,_T,,IX,,V,,_Z,,N,,NC,,2014-Q1,,92.74282,,A,,0,,2015,,0,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,DEU,,Q,,ULCE,,_T,,IX,,V,,_Z,,N,,NC,,2014-Q2,,97.57949,,A,,0,,2015,,0,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,DEU,,Q,,ULCE,,_T,,IX,,V,,_Z,,N,,NC,,2014-Q3,,96.00897,,A,,0,,2015,,0,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,DEU,,Q,,ULCE,,_T,,IX,,V,,_Z,,N,,NC,,2014-Q4,,105.4553,,A,,0,,2015,,0,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,DEU,,Q,,ULCE,,_T,,IX,,V,,_Z,,N,,NC,,2015-Q1,,94.62771,,A,,0,,2015,,0,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,DEU,,Q,,ULCE,,_T,,IX,,V,,_Z,,N,,NC,,2015-Q2,,99.82211,,A,,0,,2015,,0,
