t,retail_sales_MoM_change
1958-09-01,-0.009523809523809601
1958-10-01,0.0032051282051281937
1958-11-01,-0.006389776357827448
1958-12-01,0.022508038585209
1959-01-01,0.05974842767295607
1959-02-01,-0.035608308605341366
1959-03-01,0.02153846153846173
1959-04-01,-0.03614457831325313
1959-05-01,0.02499999999999991
1959-06-01,0.024390243902439046
1959-07-01,-0.005952380952381042
1959-08-01,-0.0119760479041916
1959-09-01,0.003030303030303161
1959-10-01,0.012084592145015005
1959-11-01,0.005970149253731405
1959-12-01,0.014836795252225476
1960-01-01,0.05555555555555558
1960-02-01,-0.027700831024930705
1960-03-01,-0.002849002849002913
1960-04-01,0.06000000000000005
1960-05-01,-0.0026954177897574594
1960-06-01,-0.013513513513513487
1960-07-01,0.03013698630136985
1960-08-01,-0.02659574468085102
1960-09-01,0.04371584699453557
1960-10-01,0.010471204188481575
1960-11-01,-0.01036269430051806
1960-12-01,0.01308900523560208
1961-01-01,-0.02842377260981921
1961-02-01,0.013297872340425565
1961-03-01,0.03937007874015741
1961-04-01,-0.06818181818181823
1961-05-01,0.024390243902439046
1961-06-01,0.023809523809523947
1961-07-01,-0.012919896640826822
1961-08-01,0.028795811518324443
1961-09-01,0.0025445292620864812
1961-10-01,0.005076142131979822
1961-11-01,0.012626262626262541
1961-12-01,0.0174563591022443
1962-01-01,0.019607843137255054
1962-02-01,0.012019230769230838
1962-03-01,-0.014251781472684133
1962-04-01,0.07469879518072298
1962-05-01,-0.07174887892376691
1962-06-01,0.07971014492753636
1962-07-01,-0.04026845637583898
1962-08-01,0.004662004662004726
1962-09-01,0.023201856148491906
1962-10-01,-0.006802721088435493
1962-11-01,0.009132420091324311
1962-12-01,-0.013574660633484226
1963-01-01,-0.006880733944954254
1963-02-01,-0.02771362586605075
1963-03-01,0.052256532066508266
1963-04-01,-0.004514672686230181
1963-05-01,-0.0045351473922903285
1963-06-01,-0.02277904328018221
1963-07-01,0.03962703962703973
1963-08-01,0.0022421524663678305
1963-09-01,-0.004474272930648837
1963-10-01,0.008988764044943753
1963-11-01,0.017817371937639326
1963-12-01,-0.002188183807439903
1964-01-01,0.004385964912280604
1964-02-01,-0.0021834061135369565
1964-03-01,0.02844638949671774
1964-04-01,-0.017021276595744594
1964-05-01,0.008658008658008587
1964-06-01,0.010729613733905685
1964-07-01,-0.004246284501061681
1964-08-01,0.006396588486140775
1964-09-01,0.008474576271186418
1964-10-01,0.03361344537815136
1964-11-01,0.00406504065040636
1964-12-01,0.0
1965-01-01,0.01619433198380582
1965-02-01,-0.005976095617529986
1965-03-01,-0.01002004008016033
