t,construction_level_change_thousands
2010-06-01,0.0026504000000000046
2010-07-01,0.00466975
2010-08-01,0.0030290299999999916
2010-09-01,-0.004038699999999991
2010-10-01,0.003155239999999992
2010-11-01,0.004922170000000009
2010-12-01,-0.01653345
2011-01-01,0.013125789999999995
2011-02-01,0.003533860000000004
2011-03-01,0.007193950000000001
2011-04-01,-0.009970550000000003
2011-05-01,0.0060580499999999945
2011-06-01,-0.001766929999999988
2011-07-01,-0.005553220000000011
2011-08-01,0.00769878
2011-09-01,-0.0011358800000000001
2011-10-01,0.0003786300000000011
2011-11-01,0.0010096699999999998
2011-12-01,0.009465720000000004
2012-01-01,-0.026377789999999998
2012-02-01,0.010727809999999997
2012-03-01,0.006815309999999996
2012-04-01,-0.006436689999999998
2012-05-01,0.014514099999999999
2012-06-01,0.004038700000000005
2012-07-01,-0.008456040000000001
2012-08-01,0.00025242000000000076
2012-09-01,0.0015145199999999903
2012-10-01,-0.0029028199999999913
2012-11-01,-0.0006310500000000019
2012-12-01,0.00025242000000000076
2013-01-01,-0.0020193500000000027
2013-02-01,0.006815309999999996
2013-03-01,0.00012621000000000038
2013-04-01,0.008834670000000003
2013-05-01,-0.005048389999999998
2013-06-01,-0.0018931400000000026
2013-07-01,0.009339510000000004
2013-08-01,-0.0034076600000000072
2013-09-01,0.0027766100000000053
2013-10-01,-0.007320149999999998
2013-11-01,0.0
2013-12-01,-0.0025241900000000043
2014-01-01,0.010601590000000001
2014-02-01,-0.007446349999999996
2014-03-01,0.002145559999999989
2014-04-01,0.0003786300000000011
2014-05-01,0.0016407200000000018
2014-06-01,-0.0029028199999999913
2014-07-01,0.004291119999999992
2014-08-01,0.00391255000000001
2014-09-01,-0.009970600000000005
2014-10-01,0.006310469999999995
2014-11-01,-0.004922159999999991
2014-12-01,-0.003029030000000006
2015-01-01,0.0001261999999999972
2015-02-01,0.007572569999999999
2015-03-01,0.0018931400000000026
2015-04-01,-0.003786280000000005
2015-05-01,0.004291120000000007
2015-06-01,-0.0008834599999999994
2015-07-01,0.004543530000000004
2015-08-01,-0.00025240000000000863
2015-09-01,0.0006310000000000003
2015-10-01,0.0001261999999999972
2015-11-01,0.004543600000000012
2015-12-01,0.001009699999999995
2016-01-01,0.0071939
2016-02-01,0.0006311000000000036
2016-03-01,0.0018930999999999898
2016-04-01,-0.0026503999999999907
2016-05-01,-0.0054270000000000065
2016-06-01,0.009844300000000004
2016-07-01,-0.013378200000000007
2016-08-01,0.0029027999999999992
2016-09-01,0.0055533000000000075
2016-10-01,0.0015144999999999983
2016-11-01,0.010727800000000003
2016-12-01,-0.011737499999999998
2017-01-01,-0.004669700000000006
2017-02-01,-0.0020194000000000045
2017-03-01,0.002776600000000002
2017-04-01,0.0012621000000000038
2017-05-01,0.001893100000000004
2017-06-01,0.005174599999999998
2017-07-01,-0.008960800000000007
2017-08-01,0.00593180000000001
2017-09-01,-0.007067700000000002
2017-10-01,0.007825000000000002
2017-11-01,-0.004291200000000004
2017-12-01,0.0045435999999999975
2018-01-01,-0.006058099999999996
2018-02-01,0.0003785999999999916
2018-03-01,0.0046698000000000095
2018-04-01,-0.004164900000000003
2018-05-01,0.01716449999999999
2018-06-01,-0.019057599999999994
2018-07-01,0.0156499
2018-08-01,-0.007825000000000002
2018-09-01,0.002776600000000002
2018-10-01,-0.018931399999999998
2018-11-01,0.005805700000000001
2018-12-01,0.0143878
2019-01-01,-0.0049221
2019-02-01,-0.015523800000000008
2019-03-01,0.009844300000000004
2019-04-01,0.007698800000000006
2019-05-01,-0.006436700000000002
2019-06-01,0.0015146000000000016
2019-07-01,0.0018930999999999898
2019-08-01,0.006815300000000008
2019-09-01,-0.004669700000000006
2019-10-01,0.0030290000000000104
2019-11-01,0.0071939
2019-12-01,0.014135500000000007
2020-01-01,-0.01981490000000001
2020-02-01,-0.014135500000000007
2020-03-01,0.007067800000000005
2020-04-01,0.0066890999999999964
2020-05-01,-0.002776600000000002
2020-06-01,0.014513999999999996
2020-07-01,-0.019688599999999994
2020-08-01,0.0058055999999999984
2020-09-01,-0.0011358999999999924
2020-10-01,-0.0034076000000000024
2020-11-01,0.0209507
2020-12-01,-0.011484999999999999
2021-01-01,0.003407599999999988
2021-02-01,0.007572600000000023
2021-03-01,0.015145199999999989
2021-04-01,-0.03432899999999999
2021-05-01,0.007572499999999991
2021-06-01,-0.004417299999999997
2021-07-01,-0.0030289999999999965
2021-08-01,0.004164900000000003
2021-09-01,-0.0010097000000000094
2021-10-01,-0.0029027999999999992
2021-11-01,-0.00201939999999999
2021-12-01,0.0223391
2022-01-01,-0.001766900000000021
2022-02-01,-0.006436699999999973
2022-03-01,0.009465699999999999
2022-04-01,-0.013630600000000015
2022-05-01,-0.0034076999999999914
2022-06-01,-0.005805600000000012
2022-07-01,0.001388300000000001
2022-08-01,-0.011863699999999994
2022-09-01,0.0022717999999999987
2022-10-01,-0.006941500000000005
2022-11-01,-0.0013882999999999869
2022-12-01,0.003912399999999991
2023-01-01,-0.009718090000000004
2023-02-01,0.0050483800000000086
2023-03-01,-0.00668911
2023-04-01,-0.010601590000000001
2023-05-01,0.001766930000000002
2023-06-01,-0.01009675
2023-07-01,0.0005048299999999983
2023-08-01,-0.0069415300000000004
2023-09-01,0.012620959999999997
2023-10-01,0.0051745899999999945
2023-11-01,-0.004038709999999995
2023-12-01,-0.014135459999999996
2024-01-01,0.002776609999999991
2024-02-01,0.0050483800000000086
2024-03-01,-0.0021455600000000034
